year,y,x1,x2,x3,x4,x5,x6
2005,4740,158,1768,117,94,145,75
2006,5443,158,1857,118,95,143,76
2007,6249,157,1826,119,92,145,87
2008,7128,156,1826,119,90,147,96
2009,7794,158,1867,118,82,150,111
2010,8560,158,1855,119,91,149,114
2011,9853,160,1828,116,93,150,120
2012,10902,158,1821,104,93,150,178
2013,11897,159,1807,103,93,153,194
2014,13329,158,1811,104,93,153,243
2015,14578,157,1814,104,92,154,312
2016,15926,157,1816,103,93,154,393
2017,17281,157,1815,105,100,154,485
2018,18780,157,1819,105,106,154,517
2019,20427,157,1815,104,93,154,541
2020,20940,158,1821,103,87,154,577
